Country,Human development index (HDI) 2018,Life expectancy at birth 2018,Expected years of schooling 2018,Mean years of schooling 2018,Gross national income (GNI) per capita 2018
Norway,0.954,82.3,18.1,12.6,"68,059"
Switzerland,0.946,83.6,16.2,13.4,"59,375"
Ireland,0.942,82.1,18.8,12.5,"55,660"
Germany,0.939,81.2,17.1,14.1,"46,946"
"Hong Kong, China (SAR)",0.939,84.7,16.5,12,"60,221"
Australia,0.938,83.3,22.1,12.7,"44,097"
Iceland,0.938,82.9,19.2,12.5,"47,566"
Sweden,0.937,82.7,18.8,12.4,"47,955"
Singapore,0.935,83.5,16.3,11.5,"83,793"
Netherlands,0.933,82.1,18,12.2,"50,013"
Denmark,0.93,80.8,19.1,12.6,"48,836"
Finland,0.925,81.7,19.3,12.4,"41,779"
Canada,0.922,82.3,16.1,13.3,"43,602"
New Zealand,0.921,82.1,18.8,12.7,"35,108"
United Kingdom,0.92,81.2,17.4,13,"39,507"
United States,0.92,78.9,16.3,13.4,"56,140"
Belgium,0.919,81.5,19.7,11.8,"43,821"
Liechtenstein,0.917,80.5,14.7,12.5,"99,732"
Japan,0.915,84.5,15.2,12.8,"40,799"
Austria,0.914,81.4,16.3,12.6,"46,231"
Luxembourg,0.909,82.1,14.2,12.2,"65,543"
Israel,0.906,82.8,16,13,"33,650"
Korea,0.906,82.8,16.4,12.2,"36,757"
Slovenia,0.902,81.2,17.4,12.3,"32,143"
Spain,0.893,83.4,17.9,9.8,"35,041"
Czechia,0.891,79.2,16.8,12.7,"31,597"
France,0.891,82.5,15.5,11.4,"40,511"
Malta,0.885,82.4,15.9,11.3,"34,795"
Italy,0.883,83.4,16.2,10.2,"36,141"
Estonia,0.882,78.6,16.1,13,"30,379"
Cyprus,0.873,80.8,14.7,12.1,"33,100"
Greece,0.872,82.1,17.3,10.5,"24,909"
Poland,0.872,78.5,16.4,12.3,"27,626"
Lithuania,0.869,75.7,16.5,13,"29,775"
United Arab Emirates,0.866,77.8,13.6,11,"66,912"
Andorra,0.857,81.8,13.3,10.2,"48,641"
Saudi Arabia,0.857,75,17,9.7,"49,338"
Slovakia,0.857,77.4,14.5,12.6,"30,672"
Latvia,0.854,75.2,16,12.8,"26,301"
Portugal,0.85,81.9,16.3,9.2,"27,935"
Qatar,0.848,80.1,12.2,9.7,"110,489"
Chile,0.847,80,16.5,10.4,"21,972"
Brunei,0.845,75.7,14.4,9.1,"76,389"
Hungary,0.845,76.7,15.1,11.9,"27,144"
Bahrain,0.838,77.2,15.3,9.4,"40,399"
Croatia,0.837,78.3,15,11.4,"23,061"
Oman,0.834,77.6,14.7,9.7,"37,039"
Argentina,0.83,76.5,17.6,10.6,"17,611"
Russian Federation,0.824,72.4,15.5,12,"25,036"
Belarus,0.817,74.6,15.4,12.3,"17,039"
Kazakhstan,0.817,73.2,15.3,11.8,"22,168"
Bulgaria,0.816,74.9,14.8,11.8,"19,646"
